q_id,entity,q_status,type_clean,state,county,county_fips,geo_level,month,month_source,mw_1,region,metric_label,not_data_center_permits
Q254,APS,active,Solar,AZ,Pinal,04021,county_fips,2017-03,q_date,100.0,West,generation_storage_interconnection_queue_activity,true
Q255,APS,active,Solar+Battery,AZ,Coconino,04005,county_fips,2017-05,q_date,2000.0,West,generation_storage_interconnection_queue_activity,true
Q256,APS,active,Solar+Battery,AZ,Pinal,04021,county_fips,2017-05,q_date,100.0,West,generation_storage_interconnection_queue_activity,true
Q257,APS,withdrawn,Gas,AZ,Pinal,04021,county_fips,2017-06,q_date,500.0,West,generation_storage_interconnection_queue_activity,true
Q258,APS,withdrawn,Battery,AZ,Maricopa,04013,county_fips,2017-09,q_date,37.5,West,generation_storage_interconnection_queue_activity,true
Q259,APS,withdrawn,Solar+Battery,NM,San Juan,35045,county_fips,2017-09,q_date,400.0,West,generation_storage_interconnection_queue_activity,true
Q26,APS,withdrawn,Wind,AZ,Mohave,04015,county_fips,2006-09,q_date,500.0,West,generation_storage_interconnection_queue_activity,true
Q260,APS,withdrawn,Gas,AZ,Pinal,04021,county_fips,2017-09,q_date,900.0,West,generation_storage_interconnection_queue_activity,true
Q261,APS,withdrawn,Gas,AZ,Maricopa,04013,county_fips,2017-09,q_date,900.0,West,generation_storage_interconnection_queue_activity,true
Q262,APS,withdrawn,Solar,AZ,Pinal,04021,county_fips,2017-09,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q263,APS,withdrawn,Battery,AZ,Pinal,04021,county_fips,2017-09,q_date,20.0,West,generation_storage_interconnection_queue_activity,true
Q264,APS,active,Solar+Battery,AZ,Pinal,04021,county_fips,2017-09,q_date,130.0,West,generation_storage_interconnection_queue_activity,true
Q265,APS,withdrawn,Solar+Battery,AZ,Coconino,04005,county_fips,2018-02,q_date,60.0,West,generation_storage_interconnection_queue_activity,true
Q266,APS,withdrawn,Solar+Battery,AZ,Coconino,04005,county_fips,2018-02,q_date,1000.0,West,generation_storage_interconnection_queue_activity,true
Q267,APS,withdrawn,Solar+Battery,AZ,Pinal,04021,county_fips,2018-03,q_date,75.0,West,generation_storage_interconnection_queue_activity,true
Q268,APS,active,Battery,AZ,Maricopa,04013,county_fips,2018-03,q_date,75.0,West,generation_storage_interconnection_queue_activity,true
Q269,APS,active,Battery,AZ,Maricopa,04013,county_fips,2018-03,q_date,450.0,West,generation_storage_interconnection_queue_activity,true
Q27,APS,withdrawn,Other,AZ,Maricopa,04013,county_fips,2006-11,q_date,3.6,West,generation_storage_interconnection_queue_activity,true
Q270,APS,active,Solar+Battery,AZ,Navajo,04017,county_fips,2018-03,q_date,200.0,West,generation_storage_interconnection_queue_activity,true
Q271,APS,active,Battery,AZ,Navajo,04017,county_fips,2018-03,q_date,75.0,West,generation_storage_interconnection_queue_activity,true
Q273,APS,active,Wind,AZ,Navajo,04017,county_fips,2018-03,q_date,477.0,West,generation_storage_interconnection_queue_activity,true
Q274,APS,active,Solar,AZ,Coconino,04005,county_fips,2018-03,q_date,1000.0,West,generation_storage_interconnection_queue_activity,true
Q275,APS,active,Solar+Battery,AZ,Navajo,04017,county_fips,2018-03,q_date,1000.0,West,generation_storage_interconnection_queue_activity,true
Q276,APS,operational,Solar,AZ,Maricopa,04013,county_fips,2018-03,q_date,150.0,West,generation_storage_interconnection_queue_activity,true
Q277,APS,withdrawn,Battery,AZ,Maricopa,04013,county_fips,2018-06,q_date,250.0,West,generation_storage_interconnection_queue_activity,true
