st_fips_raw,place_names,multiple_cities,predicted_st_fips,n_meta_rows,county_fips,state,county_name,all_county_fips,confidence,method,notes
0884770,Wiggins town,0,,208,08087,CO,Morgan County,08087,high,place_to_county,national_places → counties gazetteer
0918430,Danbury city,0,,82,09190,CT,Western Connecticut Planning Region,09190,medium,ct_town_to_planning_region,CT legacy county names obsolete in 2024 gaz; mapped via town→Western Connecticut Planning Region (CT Data Collaborative / Census COG)
0952630,New Milford town,0,,290,09190,CT,Western Connecticut Planning Region,09190,medium,ct_town_to_planning_region,CT legacy county names obsolete in 2024 gaz; mapped via town→Western Connecticut Planning Region (CT Data Collaborative / Census COG)
0955990,Norwalk city,0,,1294,09190,CT,Western Connecticut Planning Region,09190,medium,ct_town_to_planning_region,CT legacy county names obsolete in 2024 gaz; mapped via town→Western Connecticut Planning Region (CT Data Collaborative / Census COG)
1129,Washington County,0,,354,01129,AL,Washington County,01129,high,county_geoid_validated,validated against 2024 counties gazetteer
12021,Collier County,0,,7,12021,FL,Collier County,12021,high,county_geoid_validated,validated against 2024 counties gazetteer
1209550,Bunnell city,0,,78,12035,FL,Flagler County,12035,high,place_to_county,national_places → counties gazetteer
1210725; 1201625,Carrabelle city; Apalachicola city,1,1201625,11,12037,FL,Franklin County,12037,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
1210725; 1201625,Carrabelle city; Apalachicola city,1,1210725,9,12037,FL,Franklin County,12037,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
1210725; 1201625,Carrabelle city; Apalachicola city,1,UNKNOWN,34,12037,FL,Franklin County,12037,medium,compound_tokens_agree,all resolvable tokens agree on one county
1245000,Miami,0,,325,12086,FL,Miami-Dade County,12086,high,place_to_county,national_places → counties gazetteer
1253000,Orlando city,0,,467,12095,FL,Orange County,12095,high,place_to_county,national_places → counties gazetteer
1254025,Palm Beach town,0,,8,12099,FL,Palm Beach County,12099,high,place_to_county,national_places → counties gazetteer
1260975,Riviera Beach city,0,,399,12099,FL,Palm Beach County,12099,high,place_to_county,national_places → counties gazetteer
1271400,Temple Terrace city,0,,255,12057,FL,Hillsborough County,12057,high,place_to_county,national_places → counties gazetteer
1271900,Titusville city,0,,541,12009,FL,Brevard County,12009,high,place_to_county,national_places → counties gazetteer
1304000,Atlanta,0,,1344,,GA,,13089;13121,low,ambiguous_multi_county_place,place spans 2 counties; FIPS not invented
1310944,Brookhaven city,0,,200,,GA,,,none,unmatched_place,7-digit not in national_places / no safe county equiv
13117,Forsyth County,0,,233,13117,GA,Forsyth County,13117,high,county_geoid_validated,validated against 2024 counties gazetteer
13119,Franklin County,0,,2,13119,GA,Franklin County,13119,high,county_geoid_validated,validated against 2024 counties gazetteer
1312456,Calhoun city,0,,21,13129,GA,Gordon County,13129,high,place_to_county,national_places → counties gazetteer
1317328,Cochran city,0,,42,13023,GA,Bleckley County,13023,high,place_to_county,national_places → counties gazetteer
13227,Pickens County,0,,969,13227,GA,Pickens County,13227,high,county_geoid_validated,validated against 2024 counties gazetteer
1324376; 13175,Dublin city; Laurens County,1,13175,36,13175,GA,Laurens County,13175,medium,predicted_county_geoid_validated,validated against 2024 counties gazetteer; from predicted_st_fips for multi-city
1324376; 13175,Dublin city; Laurens County,1,1324376,93,13175,GA,Laurens County,13175,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
1324376; 13175,Dublin city; Laurens County,1,UNKNOWN,40,13175,GA,Laurens County,13175,medium,compound_tokens_agree,all resolvable tokens agree on one county
1332048,Garden City city,0,,99,13051,GA,Chatham County,13051,high,place_to_county,national_places → counties gazetteer
1344704,Lake Park city,0,,4,13185,GA,Lowndes County,13185,high,place_to_county,national_places → counties gazetteer
1345768,Leesburg city,0,,168,13177,GA,Lee County,13177,high,place_to_county,national_places → counties gazetteer
1351492,Milledgeville city,0,,347,13009,GA,Baldwin County,13009,high,place_to_county,national_places → counties gazetteer
1378800; 1333980; 1323872,Valdosta city; Gordon city; Douglas city,1,1323872,11,13069,GA,Coffee County,13069,medium,predicted_place_to_county,national_places → counties gazetteer; from predicted_st_fips for multi-city
